year,region,harvest,anomaly
1658,languedoc,30,-0.14
1659,languedoc,15,-0.21
1660,languedoc,14.5,-0.05
1661,languedoc,21.9,0.45
1662,languedoc,21,0.13
1663,languedoc,31.9,-0.44
1664,languedoc,22.7,-0.52
1665,languedoc,23.4,-0.73
1666,languedoc,24.8,0.03
1667,languedoc,34.1,-0.65
1668,languedoc,20.9,0.07
1669,languedoc,20.4,-0.3
1670,languedoc,17.1,-0.41
1671,languedoc,24.5,-0.21
1672,languedoc,25.4,-0.69
1673,languedoc,36.8,-1.13
1674,languedoc,24.8,-1.39
1675,languedoc,41.7,-1.63
1676,languedoc,26.9,-0.67
1677,languedoc,24.8,-0.73
1678,languedoc,30,-1.06
1679,languedoc,27.5,-0.75
1680,languedoc,22.8,-0.62
1681,languedoc,22.1,-0.76
1682,languedoc,30.3,-0.46
1683,languedoc,23.5,-1.02
1684,languedoc,23.5,-1.56
1685,languedoc,21.8,-0.35
1686,languedoc,24.6,0.64
1687,languedoc,35.8,-0.52
1688,languedoc,36.1,-1.65
1689,languedoc,30.4,-0.95
1690,languedoc,29,-0.57
1691,languedoc,23.8,-1.34
1692,languedoc,33.8,-1.78
1694,languedoc,24.7,-1.84
1695,languedoc,36.8,-2.22
1696,languedoc,28.8,-0.99
1697,languedoc,26.8,-1.46
1698,languedoc,42.7,-1.84
1699,languedoc,33.8,-0.68
1700,languedoc,32,-0.91
1701,languedoc,44.8,-0.76
1702,languedoc,38,-1.4
1703,languedoc,28.8,-1.21
1704,languedoc,22.3,-0.44
1705,languedoc,33.8,-0.76
1706,languedoc,18.3,-1.04
1707,languedoc,39.2,-1.3
1708,languedoc,29.9,-1.51
1709,languedoc,36.6,-2.13
1710,languedoc,26.9,-0.02
1711,languedoc,33.7,-0.09
1712,languedoc,32.5,-0.37
1713,languedoc,38.8,-0.87
1714,languedoc,38.7,-0.07
1715,languedoc,28.9,-0.07
1716,languedoc,38.8,-1.13
1717,languedoc,34.8,-0.47
1718,languedoc,19,-0.22
1719,languedoc,21,-0.02
1720,languedoc,43.9,-0.41
1721,languedoc,45.4,-0.6
1722,languedoc,32.4,0.79
1723,languedoc,30.8,1.46
1724,languedoc,17,-0.2
1725,languedoc,41.8,-0.15
1726,languedoc,24.1,-0.06
1727,languedoc,23.5,0.79
1728,languedoc,22.1,-0.31
1729,languedoc,36.8,-0.45
1730,languedoc,35.4,0.33
1731,languedoc,41.1,-0.26
1732,languedoc,42.9,-0.33
1733,languedoc,34.1,0.61
1734,languedoc,13.8,0.28
1735,languedoc,39,0.46
1736,languedoc,33,0.35
1737,languedoc,27.1,0.32
1738,languedoc,39.8,0.49
1739,languedoc,25.9,-0.79
1740,languedoc,43.2,-2.47
1741,languedoc,25.2,-0.19
1742,languedoc,33.2,-1.27
1743,languedoc,47.2,0.52
1744,languedoc,39.4,-0.59
1745,languedoc,34.4,-0.78
1746,languedoc,39.6,-0.67
1747,languedoc,41.1,-0.18
1748,languedoc,40.2,-0.36
1749,languedoc,39.2,-0.13
1750,languedoc,37,0.31
1751,languedoc,36.1,-0.91
1752,languedoc,34.6,0.14
1753,languedoc,32.2,-0.89
1754,languedoc,31.1,-0.87
1755,languedoc,33.6,-0.83
1756,languedoc,39.1,-0.29
1757,languedoc,34.2,0.05
1758,languedoc,42.5,-0.74
1759,languedoc,34.2,0.32
1760,languedoc,34.3,-0.21
1761,languedoc,38.1,0.65
1762,languedoc,36.4,0.12
1763,languedoc,34.4,-0.15
1764,languedoc,34.2,0.4
1765,languedoc,39,-0.03
1766,languedoc,37.3,0.24
1767,languedoc,34.4,-0.43
1768,languedoc,37.6,-0.53
1769,languedoc,42.2,-0.32
1770,languedoc,43.1,-0.18
1771,languedoc,38.1,-1.02
1772,languedoc,29.4,-0.26
1773,languedoc,43.1,0.83
1774,languedoc,36.8,-0.59
1775,languedoc,35.8,0.9
1776,languedoc,37.5,-0.25
1777,languedoc,36.2,-0.62
1778,languedoc,31.2,-0.1
1779,languedoc,34.3,1.08
1780,languedoc,30.4,-0.59
1781,languedoc,31,0.38
1782,languedoc,36.1,-1.24
1783,languedoc,35.1,0.01
1784,languedoc,30.2,-1.76
1785,languedoc,37,-1.68
1786,languedoc,31.8,-1.7
1787,languedoc,39.5,-0.31
1788,languedoc,27.1,-1.08
1789,languedoc,40.8,-0.39
1790,languedoc,40.1,-0.24
1791,languedoc,22.8,0.31
1793,languedoc,38.2,0.13
1794,languedoc,28.2,0.74
1795,languedoc,24.2,-0.71
1796,languedoc,34.2,0.02
1797,languedoc,29.2,0.52
1798,languedoc,32.2,0.16
1799,languedoc,44.2,-1.85
1800,languedoc,34.2,-0.47
1910,languedoc,21.9,-0.14
1911,languedoc,16.9,0.38
1912,languedoc,10.9,-0.54
1913,languedoc,20.9,0.06
1918,languedoc,21.9,-0.14
1919,languedoc,13.9,-0.99
1920,languedoc,6.9,0.39
1921,languedoc,10.9,0.6
1922,languedoc,11.9,-0.93
1923,languedoc,21.9,-0.49
1924,languedoc,9.9,-0.52
1925,languedoc,25,-0.31
1926,languedoc,26.5,0.07
1927,languedoc,6.5,-0.28
1928,languedoc,22.9,-0.04
1929,languedoc,11,-0.67
1930,languedoc,15.5,0.4
1931,languedoc,19.5,-0.67
1932,languedoc,33.5,0.02
1933,languedoc,16,-0.41
1934,languedoc,15.9,0.92
1935,languedoc,21.9,0.02
1936,languedoc,26.9,0.1
1937,languedoc,11.9,0.28
1938,languedoc,20.9,0.45
1939,languedoc,24.9,-0.01
1940,languedoc,22.9,-1.24
1941,languedoc,22.9,-1.03
1942,languedoc,14.9,-0.8
1943,languedoc,10.9,0.65
1944,languedoc,15.9,0.01
1945,languedoc,8.9,0.56
1946,languedoc,21.9,-0.03
1951,languedoc,19.9,0.09
1952,languedoc,9.9,-0.18
1953,languedoc,16.9,0.31
1954,languedoc,24.9,-0.48
1955,languedoc,17.9,-0.22
1956,languedoc,26.9,-1.19
1957,languedoc,24.9,0.17
1958,languedoc,23.9,-0.14
1959,languedoc,18.9,0.54
1960,languedoc,17.9,-0.02
1961,languedoc,13.9,0.67
1962,languedoc,29.9,-0.67
1963,languedoc,27.9,-0.81
1964,languedoc,19.9,-0.08
1965,languedoc,21.9,-0.69
1966,languedoc,17.9,-0.04
1967,languedoc,19.9,0.22
1968,languedoc,23.9,-0.2
1969,languedoc,29.9,-0.38
1970,languedoc,20.9,-0.32
1971,languedoc,25.9,-0.08
1972,languedoc,30.9,-0.25
1973,languedoc,25.7,-0.01
1974,languedoc,31.7,0.14
1975,languedoc,24.9,0.39
1976,languedoc,20.7,-0.08
1977,languedoc,26.9,0.07
1978,languedoc,32.9,-0.46
1979,languedoc,26,-0.28
1980,languedoc,34.7,-0.46
1981,languedoc,28,-0.05
1982,languedoc,21.7,0.51
1983,languedoc,24.9,0.64
1984,languedoc,30.7,-0.1
1985,languedoc,24.9,-0.43
1986,languedoc,27.7,-0.1
1987,languedoc,26.7,-0.26
1988,languedoc,21.7,0.67
1989,languedoc,12.6,1.18
1990,languedoc,13.3,1.22
1991,languedoc,18.9,0.21
1992,languedoc,20.7,0.89
1993,languedoc,20.7,0.26
1994,languedoc,12.5,1.32
1995,languedoc,15.4,0.87
1996,languedoc,23.1,-0.22
1997,languedoc,14.9,0.98
1998,languedoc,21.9,0.76
1999,languedoc,23,1.09
2000,languedoc,23.5,1.21
2001,languedoc,15.5,0.95
2002,languedoc,20.8,1.22
2003,languedoc,12.4,1.28
2004,languedoc,21.5,0.79
2005,languedoc,20.4,0.75
2006,languedoc,12.4,1.29
2007,languedoc,15,1.39
1801,low_loire_valley,37.1,0.19
1802,low_loire_valley,40.1,-0.3
1803,low_loire_valley,44.1,-0.92
1804,low_loire_valley,37.1,-0.35
1805,low_loire_valley,58.1,-1.38
1806,low_loire_valley,37.1,-0.28
1807,low_loire_valley,33.1,-0.66
1808,low_loire_valley,33.1,-1.15
1809,low_loire_valley,52.1,-1.32
1810,low_loire_valley,45.1,-1.26
1811,low_loire_valley,29.1,0.1
1812,low_loire_valley,51.1,-1.77
1813,low_loire_valley,55.1,-0.54
1814,low_loire_valley,53.1,-1.66
1815,low_loire_valley,41.1,-0.7
1816,low_loire_valley,65.1,-1.54
1817,low_loire_valley,52.7,-0.48
1818,low_loire_valley,30.7,0.17
1819,low_loire_valley,43.7,-0.01
1820,low_loire_valley,53.1,-0.97
1821,low_loire_valley,58.1,-0.27
1822,low_loire_valley,16.1,0.78
1823,low_loire_valley,57.1,-0.66
1824,low_loire_valley,51.7,0.07
1825,low_loire_valley,24.7,-0.07
1826,low_loire_valley,35.1,0.51
1827,low_loire_valley,35.7,-0.09
1828,low_loire_valley,41.7,-0.12
1829,low_loire_valley,51.7,-1.85
1830,low_loire_valley,48.1,-0.6
1831,low_loire_valley,36.1,-0.12
1832,low_loire_valley,51.1,-0.76
1833,low_loire_valley,39.7,-0.28
1834,low_loire_valley,31.1,0.51
1835,low_loire_valley,40.7,-0.55
1836,low_loire_valley,40.1,-0.57
1837,low_loire_valley,48.7,-0.94
1838,low_loire_valley,48.1,-1.75
1839,low_loire_valley,40.1,-0.69
1840,low_loire_valley,41.1,-1.02
1841,low_loire_valley,47.1,-0.32
1842,low_loire_valley,34.1,-0.27
1843,low_loire_valley,59.1,-0.19
1844,low_loire_valley,33.1,-1.2
1845,low_loire_valley,57.1,-1.25
1846,low_loire_valley,27.1,0.26
1847,low_loire_valley,44.6,-0.61
1848,low_loire_valley,40.6,-0.38
1849,low_loire_valley,38.1,-0.71
1850,low_loire_valley,45.1,-0.72
1851,low_loire_valley,50.6,-0.34
1852,low_loire_valley,40.6,-0.08
1853,low_loire_valley,61.6,-1
1854,low_loire_valley,54.6,-0.24
1855,low_loire_valley,50.1,-1.43
1856,low_loire_valley,44.1,-0.9
1857,low_loire_valley,34.6,0.23
1858,low_loire_valley,32.6,-0.2
1859,low_loire_valley,31.1,0.48
1860,low_loire_valley,57.6,-0.99
1861,low_loire_valley,38.6,-0.24
1862,low_loire_valley,39.1,-0.51
1863,low_loire_valley,38.1,0.6
1864,low_loire_valley,35.1,-1.22
1865,low_loire_valley,20.1,-0.15
1866,low_loire_valley,44.1,-0.08
1867,low_loire_valley,49.6,-0.96
1868,low_loire_valley,32.6,0.55
1869,low_loire_valley,49.1,-0.17
1870,low_loire_valley,28.6,-0.93
1871,low_loire_valley,43.6,-1.47
1872,low_loire_valley,47.6,0.52
1873,low_loire_valley,46.1,0.06
1874,low_loire_valley,34.1,-0.22
1875,low_loire_valley,45.6,-1.02
1876,low_loire_valley,37.1,-0.55
1877,low_loire_valley,43.1,-0.56
1878,low_loire_valley,52.6,-0.24
1879,low_loire_valley,70.6,-1.52
1880,low_loire_valley,63,-0.26
1881,low_loire_valley,34,-1.06
1882,low_loire_valley,48,-0.07
1883,low_loire_valley,44,-0.61
1884,low_loire_valley,40,-0.22
1885,low_loire_valley,42,-0.73
1886,low_loire_valley,50,-0.44
1887,low_loire_valley,47,-0.93
1888,low_loire_valley,50,-1.59
1889,low_loire_valley,44,-0.87
1890,low_loire_valley,50,-0.69
1891,low_loire_valley,51,-0.78
1892,low_loire_valley,33,-0.9
1893,low_loire_valley,11,-0.5
1894,low_loire_valley,49,-0.07
1895,low_loire_valley,41,-0.74
1896,low_loire_valley,28,-0.49
1897,low_loire_valley,39,-0.08
1898,low_loire_valley,47,0.2
1899,low_loire_valley,36,-0.14
1900,low_loire_valley,33,-0.08
1901,low_loire_valley,31,-0.53
1902,low_loire_valley,42,-1.11
1903,low_loire_valley,45,-0.1
1904,low_loire_valley,33,-0.16
1905,low_loire_valley,32,-0.35
1906,low_loire_valley,28,-0.01
1907,low_loire_valley,49,-0.58
1908,low_loire_valley,35,-0.7
1909,low_loire_valley,41,-1.07
1910,low_loire_valley,49,-0.14
1911,low_loire_valley,29,0.38
1912,low_loire_valley,38,-0.54
1913,low_loire_valley,47,0.06
1914,low_loire_valley,42,0.08
1915,low_loire_valley,34,-0.78
1916,low_loire_valley,43,-0.2
1917,low_loire_valley,34,-0.95
1918,low_loire_valley,38,-0.14
1919,low_loire_valley,34,-0.99
1920,low_loire_valley,58,0.39
1921,low_loire_valley,38,0.6
1922,low_loire_valley,44,-0.93
1923,low_loire_valley,40,-0.49
1924,low_loire_valley,41,-0.52
1925,low_loire_valley,45,-0.31
1926,low_loire_valley,46,0.07
1927,low_loire_valley,45,-0.28
1928,low_loire_valley,35,-0.04
1929,low_loire_valley,39,-0.67
1930,low_loire_valley,48,0.4
1931,low_loire_valley,44,-0.67
1932,low_loire_valley,45,0.02
1933,low_loire_valley,37,-0.41
1934,low_loire_valley,36,0.92
1935,low_loire_valley,38,0.02
1936,low_loire_valley,41,0.1
1937,low_loire_valley,42,0.28
1938,low_loire_valley,45,0.45
1939,low_loire_valley,41,-0.01
1940,low_loire_valley,42,-1.24
1941,low_loire_valley,45,-1.03
1942,low_loire_valley,44,-0.8
1943,low_loire_valley,40,0.65
1944,low_loire_valley,40,0.01
1946,low_loire_valley,37,-0.03
1947,low_loire_valley,29,0.32
1948,low_loire_valley,31,0.58
1949,low_loire_valley,26,0.88
1950,low_loire_valley,27,0.31
1951,low_loire_valley,46,0.09
1952,low_loire_valley,26,-0.18
1953,low_loire_valley,35,0.31
1954,low_loire_valley,48,-0.48
1955,low_loire_valley,34,-0.22
1956,low_loire_valley,45,-1.19
1957,low_loire_valley,37,0.17
1958,low_loire_valley,46,-0.14
1959,low_loire_valley,26,0.54
1960,low_loire_valley,29,-0.02
1961,low_loire_valley,33,0.67
1962,low_loire_valley,48,-0.67
1963,low_loire_valley,51,-0.81
1964,low_loire_valley,35,-0.08
1965,low_loire_valley,52,-0.69
1966,low_loire_valley,41,-0.04
1967,low_loire_valley,40,0.22
1968,low_loire_valley,45,-0.2
1969,low_loire_valley,36,-0.38
1970,low_loire_valley,36,-0.32
1971,low_loire_valley,35,-0.08
1972,low_loire_valley,50,-0.25
1973,low_loire_valley,35,-0.01
1974,low_loire_valley,40,0.14
1975,low_loire_valley,39,0.39
1976,low_loire_valley,20,-0.08
1979,low_loire_valley,43.3,-0.28
1980,low_loire_valley,48.3,-0.46
1981,low_loire_valley,41.3,-0.05
1982,low_loire_valley,25.3,0.51
1983,low_loire_valley,38.3,0.64
1984,low_loire_valley,43.3,-0.1
1985,low_loire_valley,40.3,-0.43
1986,low_loire_valley,42.4,-0.1
1987,low_loire_valley,44.4,-0.26
1988,low_loire_valley,35.9,0.67
1989,low_loire_valley,21.3,1.18
1990,low_loire_valley,25.4,1.22
1991,low_loire_valley,40.3,0.21
1992,low_loire_valley,24.9,0.89
1993,low_loire_valley,32.4,0.26
1994,low_loire_valley,27.9,1.32
1995,low_loire_valley,31.3,0.87
1996,low_loire_valley,33.9,-0.22
1997,low_loire_valley,32.9,0.98
1998,low_loire_valley,34.3,0.76
1999,low_loire_valley,27.4,1.09
2000,low_loire_valley,29.4,1.21
2001,low_loire_valley,30.9,0.95
2002,low_loire_valley,34.4,1.22
2003,low_loire_valley,13.3,1.28
2004,low_loire_valley,31,0.79
2005,low_loire_valley,24,0.75
2006,low_loire_valley,28.3,1.29
1840,luxembourg,40,-1.02
1841,luxembourg,35,-0.32
1842,luxembourg,37,-0.27
1843,luxembourg,54,-0.19
1844,luxembourg,45,-1.2
1845,luxembourg,34,-1.25
1846,luxembourg,29,0.26
1847,luxembourg,55,-0.61
1848,luxembourg,44,-0.38
1849,luxembourg,56,-0.71
1851,luxembourg,75,-0.34
1852,luxembourg,55,-0.08
1853,luxembourg,59,-1
1854,luxembourg,64,-0.24
1855,luxembourg,52,-1.43
1856,luxembourg,64,-0.9
1857,luxembourg,39,0.23
1858,luxembourg,44,-0.2
1859,luxembourg,36,0.48
1861,luxembourg,51,-0.24
1862,luxembourg,51,-0.51
1863,luxembourg,56,0.6
1864,luxembourg,55,-1.22
1865,luxembourg,39,-0.15
1866,luxembourg,56,-0.08
1867,luxembourg,58,-0.96
1868,luxembourg,31,0.55
1869,luxembourg,55,-0.17
1870,luxembourg,47,-0.93
1871,luxembourg,50,-1.47
1872,luxembourg,44,0.52
1873,luxembourg,57,0.06
1874,luxembourg,45,-0.22
1875,luxembourg,53,-1.02
1876,luxembourg,54,-0.55
1877,luxembourg,58,-0.56
1878,luxembourg,57,-0.24
1879,luxembourg,49,-1.52
1880,luxembourg,53,-0.26
1881,luxembourg,47,-1.06
1882,luxembourg,56,-0.07
1883,luxembourg,52,-0.61
1884,luxembourg,52,-0.22
1885,luxembourg,55,-0.73
1886,luxembourg,53,-0.44
1887,luxembourg,54,-0.93
1888,luxembourg,55,-1.59
1889,luxembourg,45,-0.87
1890,luxembourg,53,-0.69
1891,luxembourg,63,-0.78
1892,luxembourg,40,-0.9
1893,luxembourg,33,-0.5
1894,luxembourg,58,-0.07
1895,luxembourg,52,-0.74
1896,luxembourg,50,-0.49
1897,luxembourg,50,-0.08
1898,luxembourg,56,0.2
1899,luxembourg,55,-0.14
1900,luxembourg,38,-0.08
1901,luxembourg,40,-0.53
1902,luxembourg,56,-1.11
1903,luxembourg,48,-0.1
1904,luxembourg,32,-0.16
1905,luxembourg,32,-0.35
1906,luxembourg,40,-0.01
1907,luxembourg,31,-0.58
1908,luxembourg,45,-0.7
1909,luxembourg,30,-1.07
1910,luxembourg,33,-0.14
1911,luxembourg,31,0.38
1912,luxembourg,37,-0.54
1913,luxembourg,30,0.06
1914,luxembourg,54,0.08
1915,luxembourg,31,-0.78
1916,luxembourg,48,-0.2
1917,luxembourg,24,-0.95
1918,luxembourg,18,-0.14
1919,luxembourg,15,-0.99
1920,luxembourg,39,0.39
1921,luxembourg,28,0.6
1922,luxembourg,44,-0.93
1923,luxembourg,53,-0.49
1924,luxembourg,44,-0.52
1925,luxembourg,42,-0.31
1926,luxembourg,50,0.07
1927,luxembourg,48,-0.28
1928,luxembourg,43,-0.04
1929,luxembourg,39,-0.67
1930,luxembourg,24,0.4
1931,luxembourg,36,-0.67
1932,luxembourg,29,0.02
1933,luxembourg,32,-0.41
1934,luxembourg,19,0.92
1935,luxembourg,25,0.02
1936,luxembourg,28,0.1
1937,luxembourg,15,0.28
1938,luxembourg,33,0.45
1939,luxembourg,28,-0.01
1940,luxembourg,27,-1.24
1941,luxembourg,43,-1.03
1942,luxembourg,31,-0.8
1943,luxembourg,27,0.65
1945,luxembourg,12,0.56
1946,luxembourg,20,-0.03
1947,luxembourg,23,0.32
1948,luxembourg,22,0.58
1949,luxembourg,25,0.88
1656,maritime_alps,39,0
1657,maritime_alps,46,0.18
1658,maritime_alps,40,-0.14
1659,maritime_alps,36,-0.21
1660,maritime_alps,30,-0.05
1661,maritime_alps,33,0.45
1662,maritime_alps,46,0.13
1663,maritime_alps,46.5,-0.44
1664,maritime_alps,40,-0.52
1665,maritime_alps,49,-0.73
1666,maritime_alps,34,0.03
1667,maritime_alps,54,-0.65
1668,maritime_alps,38,0.07
1669,maritime_alps,40,-0.3
1670,maritime_alps,37,-0.41
1671,maritime_alps,49,-0.21
1672,maritime_alps,47,-0.69
1673,maritime_alps,53,-1.13
1674,maritime_alps,44,-1.39
1676,maritime_alps,42,-0.67
1677,maritime_alps,41,-0.73
1678,maritime_alps,40,-1.06
1679,maritime_alps,46,-0.75
1680,maritime_alps,37,-0.62
1681,maritime_alps,43,-0.76
1682,maritime_alps,43,-0.46
1683,maritime_alps,34,-1.02
1684,maritime_alps,28.5,-1.56
1685,maritime_alps,39,-0.35
1686,maritime_alps,28,0.64
1687,maritime_alps,48,-0.52
1688,maritime_alps,41,-1.65
1689,maritime_alps,43,-0.95
1690,maritime_alps,47.5,-0.57
1691,maritime_alps,34,-1.34
1692,maritime_alps,51,-1.78
1693,maritime_alps,52.5,-1.04
1694,maritime_alps,41,-1.84
1695,maritime_alps,52.5,-2.22
1696,maritime_alps,58,-0.99
1697,maritime_alps,51,-1.46
1698,maritime_alps,61.5,-1.84
1699,maritime_alps,43.5,-0.68
1700,maritime_alps,54,-0.91
1701,maritime_alps,47,-0.76
1702,maritime_alps,48,-1.4
1703,maritime_alps,38,-1.21
1704,maritime_alps,36,-0.44
1705,maritime_alps,49,-0.76
1706,maritime_alps,29,-1.04
1707,maritime_alps,36.5,-1.3
1708,maritime_alps,42.5,-1.51
1709,maritime_alps,44,-2.13
1710,maritime_alps,34,-0.02
1711,maritime_alps,48.5,-0.09
1712,maritime_alps,41,-0.37
1713,maritime_alps,40.5,-0.87
1714,maritime_alps,54,-0.07
1715,maritime_alps,37,-0.07
1716,maritime_alps,47,-1.13
1717,maritime_alps,48,-0.47
1718,maritime_alps,26,-0.22
1719,maritime_alps,29,-0.02
1720,maritime_alps,33.5,-0.41
1721,maritime_alps,50,-0.6
1722,maritime_alps,37,0.79
1723,maritime_alps,41,1.46
1724,maritime_alps,25,-0.2
1725,maritime_alps,48,-0.15
1726,maritime_alps,37,-0.06
1727,maritime_alps,36,0.79
1728,maritime_alps,30.5,-0.31
1729,maritime_alps,36,-0.45
1730,maritime_alps,46,0.33
1731,maritime_alps,45,-0.26
1732,maritime_alps,44.5,-0.33
1733,maritime_alps,45.5,0.61
1734,maritime_alps,29.5,0.28
1735,maritime_alps,48,0.46
1736,maritime_alps,48.5,0.35
1737,maritime_alps,44,0.32
1738,maritime_alps,50,0.49
1739,maritime_alps,40,-0.79
1740,maritime_alps,60,-2.47
1741,maritime_alps,35,-0.19
1742,maritime_alps,40,-1.27
1743,maritime_alps,54,0.52
1744,maritime_alps,53.5,-0.59
1745,maritime_alps,46,-0.78
1746,maritime_alps,49,-0.67
1747,maritime_alps,44,-0.18
1748,maritime_alps,46,-0.36
1749,maritime_alps,53,-0.13
1750,maritime_alps,49,0.31
1751,maritime_alps,51.5,-0.91
1752,maritime_alps,49,0.14
1753,maritime_alps,45,-0.89
1754,maritime_alps,44,-0.87
1755,maritime_alps,47,-0.83
1756,maritime_alps,49.5,-0.29
1757,maritime_alps,47,0.05
1758,maritime_alps,50.5,-0.74
1759,maritime_alps,46.5,0.32
1760,maritime_alps,38.5,-0.21
1761,maritime_alps,47.5,0.65
1762,maritime_alps,41,0.12
1763,maritime_alps,47,-0.15
1764,maritime_alps,45,0.4
1765,maritime_alps,51,-0.03
1766,maritime_alps,45,0.24
1767,maritime_alps,49,-0.43
1768,maritime_alps,47,-0.53
1769,maritime_alps,46,-0.32
1770,maritime_alps,59,-0.18
1771,maritime_alps,51,-1.02
1772,maritime_alps,49,-0.26
1773,maritime_alps,58,0.83
1774,maritime_alps,54,-0.59
1775,maritime_alps,49,0.9
1776,maritime_alps,52,-0.25
1777,maritime_alps,43,-0.62
1778,maritime_alps,47,-0.1
1779,maritime_alps,43.5,1.08
1780,maritime_alps,42,-0.59
1781,maritime_alps,41.5,0.38
1782,maritime_alps,44,-1.24
1783,maritime_alps,51.5,0.01
1784,maritime_alps,42,-1.76
1785,maritime_alps,50,-1.68
1786,maritime_alps,48,-1.7
1787,maritime_alps,50,-0.31
1788,maritime_alps,45,-1.08
1789,maritime_alps,52,-0.39
1791,maritime_alps,30,0.31
1792,maritime_alps,47,-0.43
1796,maritime_alps,42,0.02
1690,northern_italy,46,-0.57
1692,northern_italy,57,-1.78
1695,northern_italy,55,-2.22
1700,northern_italy,42,-0.91
1702,northern_italy,48,-1.4
1703,northern_italy,47,-1.21
1706,northern_italy,42,-1.04
1707,northern_italy,47,-1.3
1716,northern_italy,49,-1.13
1717,northern_italy,48,-0.47
1718,northern_italy,36,-0.22
1719,northern_italy,46,-0.02
1721,northern_italy,35,-0.6
1722,northern_italy,39,0.79
1724,northern_italy,38,-0.2
1726,northern_italy,37,-0.06
1727,northern_italy,45,0.79
1729,northern_italy,47,-0.45
1733,northern_italy,45,0.61
1734,northern_italy,34,0.28
1735,northern_italy,46,0.46
1736,northern_italy,46,0.35
1737,northern_italy,51,0.32
1738,northern_italy,32,0.49
1741,northern_italy,48,-0.19
1743,northern_italy,51,0.52
1744,northern_italy,45,-0.59
1745,northern_italy,48,-0.78
1746,northern_italy,46,-0.67
1747,northern_italy,46,-0.18
1748,northern_italy,47,-0.36
1750,northern_italy,46,0.31
1751,northern_italy,51,-0.91
1752,northern_italy,48,0.14
1753,northern_italy,47,-0.89
1754,northern_italy,51,-0.87
1755,northern_italy,45,-0.83
1756,northern_italy,51,-0.29
1757,northern_italy,47,0.05
1758,northern_italy,51,-0.74
1760,northern_italy,47,-0.21
1761,northern_italy,49,0.65
1762,northern_italy,36,0.12
1763,northern_italy,49,-0.15
1764,northern_italy,39,0.4
1765,northern_italy,51,-0.03
1766,northern_italy,45,0.24
1767,northern_italy,49,-0.43
1768,northern_italy,50,-0.53
1769,northern_italy,53,-0.32
1770,northern_italy,53,-0.18
1771,northern_italy,51,-1.02
1772,northern_italy,49,-0.26
1773,northern_italy,51,0.83
1775,northern_italy,49,0.9
1776,northern_italy,51,-0.25
1777,northern_italy,52,-0.62
1779,northern_italy,48,1.08
1781,northern_italy,34,0.38
1782,northern_italy,51,-1.24
1783,northern_italy,46,0.01
1785,northern_italy,57,-1.68
1786,northern_italy,52,-1.7
1787,northern_italy,45,-0.31
1788,northern_italy,46,-1.08
1789,northern_italy,45,-0.39
1790,northern_italy,51,-0.24
1791,northern_italy,49,0.31
1792,northern_italy,34,-0.43
1793,northern_italy,37,0.13
1794,northern_italy,49,0.74
1795,northern_italy,47,-0.71
1796,northern_italy,46,0.02
1797,northern_italy,47,0.52
1798,northern_italy,51,0.16
1799,northern_italy,50,-1.85
1800,northern_italy,45,-0.47
1801,northern_italy,42,0.19
1802,northern_italy,41,-0.3
1803,northern_italy,49,-0.92
1804,northern_italy,47,-0.35
1805,northern_italy,54,-1.38
1806,northern_italy,47,-0.28
1807,northern_italy,42,-0.66
1808,northern_italy,49,-1.15
1809,northern_italy,53,-1.32
1810,northern_italy,52,-1.26
1811,northern_italy,32,0.1
1812,northern_italy,52,-1.77
1813,northern_italy,50,-0.54
1814,northern_italy,48,-1.66
1815,northern_italy,48,-0.7
1816,northern_italy,59,-1.54
1817,northern_italy,47,-0.48
1818,northern_italy,49,0.17
1819,northern_italy,43,-0.01
1820,northern_italy,48,-0.97
1821,northern_italy,54,-0.27
1822,northern_italy,24,0.78
1823,northern_italy,53,-0.66
1824,northern_italy,44,0.07
1825,northern_italy,43,-0.07
1826,northern_italy,47,0.51
1827,northern_italy,47,-0.09
1828,northern_italy,43,-0.12
1829,northern_italy,46,-1.85
1830,northern_italy,43,-0.6
1831,northern_italy,50,-0.12
1832,northern_italy,47,-0.76
1833,northern_italy,51,-0.28
1834,northern_italy,39,0.51
1835,northern_italy,49,-0.55
1836,northern_italy,50,-0.57
1837,northern_italy,48,-0.94
1838,northern_italy,48,-1.75
1839,northern_italy,39,-0.69
1840,northern_italy,42,-1.02
1841,northern_italy,41,-0.32
1842,northern_italy,38,-0.27
1843,northern_italy,55,-0.19
1844,northern_italy,40,-1.2
1845,northern_italy,53,-1.25
1846,northern_italy,28,0.26
1847,northern_italy,48,-0.61
1848,northern_italy,46,-0.38
1849,northern_italy,35,-0.71
1850,northern_italy,54,-0.72
1851,northern_italy,52,-0.34
1852,northern_italy,48,-0.08
1855,northern_italy,58,-1.43
1856,northern_italy,33,-0.9
1857,northern_italy,27,0.23
1858,northern_italy,25,-0.2
1862,northern_italy,16,-0.51
1863,northern_italy,25,0.6
1864,northern_italy,40,-1.22
1865,northern_italy,26,-0.15
1866,northern_italy,45,-0.08
1867,northern_italy,37,-0.96
1868,northern_italy,35,0.55
1869,northern_italy,34,-0.17
1870,northern_italy,33,-0.93
1871,northern_italy,48,-1.47
1872,northern_italy,46,0.52
1873,northern_italy,36,0.06
1874,northern_italy,42,-0.22
1875,northern_italy,45,-1.02
1876,northern_italy,50,-0.55
1877,northern_italy,48,-0.56
1878,northern_italy,45,-0.24
